#Chemical Compatibility Database
# Format: Chemical Material Name|Ratings (11 digits for FFKM|ETP|FKM|NBR|HNBR|EPDM|TFE\P|VQM|FVQM|AU|PTFE)
# Elastomer Material Price: 5|4|3|1|2|1|3|2|3|3|3
# Rating Scale:
# 5 = Good - The material has good chemical resistance
# 4 = Fair - Limited exposure may be acceptable
# 3 = Poor - Not recommended for continuous use
# 2 = Unsuitable - Should not be used with this chemical
# 1 = N/A - No data available
#
# Elastomer Types:
# FFKM  = Perfluoroelastomer
# ETP   = Fluoroelastomer (Viton Extreme)
# FKM   = Fluoroelastomer (Viton Type A)
# NBR   = Nitrile Butadiene Rubber
# HNBR  = Hydrogenated Nitrile Butadiene Rubber
# EPDM  = Ethylene Propylene Diene Monomer
# TFE\P = Tetrafluoroethylene Propylene (Aflas)
# VMQ   = Silicone Rubber
# FVMQ  = Fluorosilicone Rubber
# AU    = Polyester Urethane
# PTFE  = Polytetrafluoroethylene (Teflon)
#
CHLOROX|55544451521
CHLORSULPHONIC   ACID|11122212215
CHOLESTEROL|55544211431
CHROME ALUM|55555535111
CHROME PLATING   SOLUTION|55522454425
CHROMIC ACID|55522453435
CHROMIC OXIDE|55522451111
CHROMIUM   POTASSIUM SULFATE|55544441111
CINNAMIC ACID|55544211431
CINNAMIC   ALCOHOL|55544211431
CINNAMIC   ALDEHYDE|54344211431
CIRCO LIGHT   PROCESS OIL|55555252551
CITRIC ACID|55555555555
CITY SERVICE   65, 120, 250|55555252541
CITY SERVICE   KOOL MOTOR OIL 140|55555252551
CITY SERVICE   PACEMAKER NO. 2|55555252541
CLOPHEN|11411212151
CLOPHEN-A   TYPES|51522115525
CLOROX|55541414411
COAL TAR|55555252511
COBALT   CHLORIDE|55555554551
COBALT   CHLORIDE, 2N|55555555521
COBALTOUS   ACETATE|53233514521
COBALTOUS   BROMIDE|55555555521
COBALTOUS   CHLORIDE|55551554511
COBALTOUS   SULFATE|55333514521
COCONUT FAT|51555215555
COCONUT FATTY   ALCOHOL|51555411115
COCONUT OIL|55555355535
COD LIVER OIL|55555554555
CODEINE|55544211431
COFFEE|55555555521
COKE OVEN GAS|55522254425
COLICHE   LIQUORS|11144441111
CONVELEX 10|55522342141
COOLANOL|55555252551
COPPER ACETATE|53244522221
COPPER   AMMONIUM ACETATE|55333514521
COPPER   CARBONATE|55533514521
COPPER   CHLORIDE|55555555555
COPPER CYANIDE|55555545551
COPPER   FLUORIDE|51555511115
COPPER   GLUCONATE|55333514521
COPPER NITRATE|55545441115
COPPER OXIDE|55555555551
COPPER SALTS|55555555551
COPPER SULFATE|55555555555
COPPER SULFATE   10%|55555555541
COPPER SULFATE   50%|55555555531
CORN OIL|55555355555
COTTONSEED OIL|55555355555
CREOSOTE, COAL   TAR|55555252535
CREOSOTE, WOOD|55555242531
CREOSYLIC ACID|51525251121
CRESOL|55522252455
CRESYLIC ACID|55522252421
CROTONALDEHYDE|54244511435
CROTONIC ACID|55424412231
CRUDE OIL,   ASPHALT BASE|55544252455
CUMALDEHYDE|55544211431
CUMENE|55522232421
CUPRIC SULFATE|55555551111
CUTTING OIL|55555252551
CYANOGEN   CHLORIDE|54423331111
CYCLOHEXANE|55555242455
CYCLOHEXANOL|55555252555
CYCLOHEXANONE|53222432225
CYCLOHEXENE|54344211431
CYCLOHEXYLAMINE|53222214555
CYCLOHEXYLAMINE   LAURATE|55555214551
CYCLOPENTADIENE|54344211431
CYCLOPENTANE|55555242551
CYCLOPOLYOLEFINS|55355242551
CYMENE|55521212431
DDT   (Dichlorodiphenyltrichloroethane)|55524212531
DECAHYDRONAPHTHALENE|55521212511
DECALIN|55522242511
DECANE|55555254541
DEIONIZED   WATER|55544444521
DELCO BRAKE   FLUID|52233553211
DELTA H|41422211115
DELVAC 1100,   1110, 1120, 1130|55555255111
DENATURED   ALCOHOL|55555555525
DESMODUR|11112212142
DESMOPHEN 2000|11155111115
DETERGENT   SOLUTIONS|55555555525
DETERGENTS|41455511115
DEVELOPING   FLUIDS|55555455511
DEXRON|55555242441
DEXTRIN|55555515525
DEXTRO LACTIC   ACID|55333514521
DEXTRON|55555252411
DEXTROSE|55533514521
DIACETONE|54222542225
DIACETONE   ALCOHOL|54222522225
DIALKYL   SULFATES|55333514521
DIAMYLAMINE|53255214551
DIAZINON|55433222411
DIBENZYL|55444211431
DIBENZYL ETHER|53222431145
DIBENZYL   SEBACATE|55422453341
DIBROMODIFLUOROMETHANE|51121412111
DIBROMOETHANE|55544211431
DIBROMOETHYLBENZENE|55422222421
DIBROMOTETRAFLUOROETHANE|44441222111
DIBUTYL   CELLOSOLVE ADIPATE|55333514521
DIBUTYL ETHER|54322322345
DIBUTYL   METHYLENEDITHIO GLYCOLATE|55544211431
DIBUTYL   PHTHALATE|54322444335
DIBUTYL   SEBACATE|55222444425
DIBUTYL   THIOGLYCOLATE|55544211431
DIBUTYL   THIOUREA|55544211431
DIBUTYLAMINE|53222243221
DICAPRYL   PHTHALATE|55421413411
DICHCLOROBUTANE|51544251111
DICHLORACETIC   ACID|43222511125
DICHLORETHANE|41422212125
DICHLORETHYLENE|41422111115
DICHLOROACETIC   ACID|55544211431
DICHLOROANILINE|55233514521
DICHLOROBENZENE|55522232425
DICHLOROBUTANE|55544252425
DICHLOROBUTENE|55422211435
DICHLORODIETHYL   SULFIDE|51111515111
DICHLORODIPHENYLDICHLOROETHANE|55544211431
DICHLOROETHANE|55544211431
DICHLOROETHYLENE|55444211431
DICHLOROHYDRIN|55333514521
DICHLOROISOPROPYL   ETHER|54322332341
DICHLOROMETHANE|55322212425
DICHLOROPHENOL|55444211431
DICHLOROPHENOXYACETIC   ACID|55544211431
DICHLOROPROPANE|55544211431
DICHLOROPROPENE|55444211431
DICYCLOHEXYLAMINE|54235234221
DICYCLOHEXYLAMMONIUM   NITRATE|55333514521
DIELDRIN|54244211431
DIESEL FUEL|55555214545
DIESEL OIL|55555252535
DI-ESTER   SYNTHETIC LUBRICANTS|55544252421
DIETHANOLAMINE|54333514521
DIETHYL   CARBONATE|55533514521
DIETHYL ETHER|53222222355
DIETHYL   PHTHALATE|55544211431
DIETHYL   SEBACATE|54423444425
