designation,bore_d,outer_d,width,load_rating,limiting_speed
MRC.307MFF,35.0,80.0,21.0,34.7,7600.0
MRC.307MG,35.0,80.0,21.0,34.7,9500.0
MRC.307S,35.0,80.0,21.0,35.1,12000.0
MRC.307SF,35.0,80.0,21.0,35.1,12000.0
MRC.307SFF,35.0,80.0,21.0,35.1,9500.0
MRC.307SFFG,35.0,80.0,21.0,35.1,9500.0
MRC.307SG,35.0,80.0,21.0,35.1,12000.0
MRC.307SZZ,35.0,80.0,21.0,35.1,12000.0
MRC.307SZZG,35.0,80.0,21.0,35.1,6000.0
MRC.308M,40.0,90.0,23.0,45.7,8500.0
MRC.308MF,40.0,90.0,23.0,45.7,8500.0
MRC.308MFF,40.0,90.0,23.0,45.7,6800.0
MRC.308MFG,40.0,90.0,23.0,45.7,8500.0
MRC.308MG,40.0,90.0,23.0,45.7,8500.0
MRC.308S,40.0,90.0,23.0,42.3,11000.0
MRC.308SFF,40.0,90.0,23.0,42.3,8500.0
MRC.308SG,40.0,90.0,23.0,42.3,11000.0
MRC.308SZZ,40.0,90.0,23.0,42.3,5000.0
MRC.308SZZG,40.0,90.0,23.0,42.3,5000.0
MRC.309M,45.0,100.0,25.0,55.0,7500.0
MRC.309MF,45.0,100.0,25.0,55.0,7500.0
MRC.309MFF,45.0,100.0,25.0,55.0,6000.0
MRC.309MFG,45.0,100.0,25.0,55.0,7500.0
MRC.309MG,45.0,100.0,25.0,55.0,7500.0
MRC.309S,45.0,100.0,25.0,55.3,9500.0
MRC.309SF,45.0,100.0,25.0,55.3,9500.0
MRC.309SFF,45.0,100.0,25.0,55.3,7500.0
MRC.309SG,45.0,100.0,25.0,55.3,9500.0
MRC.309SZZ,45.0,100.0,25.0,55.3,9500.0
MRC.309SZZG,45.0,100.0,25.0,55.3,4500.0
MRC.310M,50.0,110.0,27.0,64.4,7000.0
MRC.310MF,50.0,110.0,27.0,64.4,7000.0
MRC.310MFF,50.0,110.0,27.0,64.4,5600.0
MRC.310MFFG,50.0,110.0,27.0,64.4,5600.0
MRC.310MFG,50.0,110.0,27.0,64.4,7000.0
MRC.310MG,50.0,110.0,27.0,64.4,7000.0
MRC.310S,50.0,110.0,27.0,65.0,8500.0
MRC.310SFF,50.0,110.0,27.0,65.0,6700.0
MRC.310SFFG,50.0,110.0,27.0,65.0,6700.0
MRC.310SG,50.0,110.0,27.0,65.0,8500.0
MRC.310SZZ,50.0,110.0,27.0,65.0,4300.0
MRC.310SZZG,50.0,110.0,27.0,65.0,8500.0
MRC.311M,55.0,120.0,29.0,79.2,6300.0
MRC.311MFF,55.0,120.0,29.0,79.2,5000.0
MRC.311MFG,55.0,120.0,29.0,79.2,6300.0
MRC.311S,55.0,120.0,29.0,74.1,8000.0
MRC.311SF,55.0,120.0,29.0,74.1,8000.0
MRC.311SFF,55.0,120.0,29.0,74.1,6300.0
MRC.311SG,55.0,120.0,29.0,74.1,8000.0
MRC.311SZZ,55.0,120.0,29.0,74.1,3800.0
MRC.312M,60.0,130.0,31.0,91.3,6000.0
MRC.312MFF,60.0,130.0,31.0,91.3,4800.0
MRC.312MFG,60.0,130.0,31.0,91.3,6000.0
MRC.312MG,60.0,130.0,31.0,91.3,6000.0
MRC.312S,60.0,130.0,31.0,85.2,7000.0
MRC.312SF,60.0,130.0,31.0,85.2,7000.0
MRC.312SFF,60.0,130.0,31.0,85.2,5600.0
MRC.312SZZ,60.0,130.0,31.0,85.2,7000.0
MRC.313M,65.0,140.0,33.0,102.0,5300.0
MRC.313MF,65.0,140.0,33.0,102.0,5300.0
MRC.313MFF,65.0,140.0,33.0,102.0,4300.0
MRC.313MG,65.0,140.0,33.0,102.0,5300.0
MRC.313S,65.0,140.0,33.0,97.5,6700.0
MRC.313SF,65.0,140.0,33.0,97.5,6700.0
MRC.313SFF,65.0,140.0,33.0,97.5,5300.0
MRC.313SZZ,65.0,140.0,33.0,97.5,6700.0
MRC.314M,70.0,150.0,35.0,114.0,5000.0
MRC.314MF,70.0,150.0,35.0,114.0,5000.0
MRC.314MFF,70.0,150.0,35.0,114.0,4000.0
MRC.314MFG,70.0,150.0,35.0,114.0,5000.0
MRC.314S,70.0,150.0,35.0,111.0,6300.0
MRC.314SF,70.0,150.0,35.0,111.0,6300.0
MRC.314SFF,70.0,150.0,35.0,111.0,5000.0
MRC.315S,75.0,160.0,37.0,119.0,5600.0
MRC.315SFF,75.0,160.0,37.0,119.0,4500.0
MRC.316S,80.0,170.0,39.0,130.0,5300.0
MRC.316SF,80.0,170.0,39.0,130.0,5300.0
MRC.316SFF,80.0,170.0,39.0,130.0,4300.0
MRC.317S,85.0,180.0,41.0,140.0,5000.0
MRC.317SFF,85.0,180.0,41.0,140.0,4000.0
MRC.318S,90.0,190.0,43.0,151.0,4800.0
MRC.318SF,90.0,190.0,43.0,151.0,4800.0
MRC.318SFF,90.0,190.0,43.0,151.0,3800.0
MRC.319S,95.0,200.0,45.0,159.0,4500.0
MRC.319SF,95.0,200.0,45.0,159.0,4500.0
MRC.319SFF,95.0,200.0,45.0,159.0,3600.0
MRC.320S,100.0,215.0,47.0,174.0,4300.0
MRC.320SF,100.0,215.0,47.0,174.0,4300.0
MRC.320SFF,100.0,215.0,47.0,174.0,3400.0
PER.202HRR3,14.3,35.0,13.0,6.78,
PER.202RRR50,15.0,35.0,22.352,7.64,
PER.203RPP50,16.256,40.0,18.288,9.75,
PER.203RPP51-A,13.081,40.0,22.5,9.57,
PER.203RRR2,16.256,40.0,18.288,9.57,
PER.203RRR2-B,16.256,40.0,18.288,9.75,
PER.203RRR2-C,16.256,40.0,18.288,9.75,
PER.203RRR2-G,16.256,40.0,18.288,9.75,
PER.203RRR5-A,13.081,40.0,18.288,9.57,
PER.203RRR6,16.256,47.0,18.288,9.57,
PER.203RRR9,15.9,40.0,12.954,9.57,
PER.203RRY61,17.0,40.0,14.0,9.57,
PER.203RYY2,16.256,40.0,18.288,9.57,
PER.204HRR2,17.653,47.0,20.955,12.8,
PER.204HRR2-B,17.653,47.0,21.0,12.8,
PER.204HRR2-C,17.653,47.0,20.955,12.8,
PER.204HYY2,17.653,47.0,21.0,12.8,
PER.204HZZ2,17.653,47.0,20.955,12.8,
PER.204RRR4,16.027,47.0,17.5,12.8,
PER.204RRR8,16.02,45.225,15.49,12.8,
PER.205HPP2,22.25,52.0,25.4,14.0,
PER.205HPPB2,22.25,52.0,25.4,14.0,
PER.205HPPB2-A,22.25,52.0,25.4,14.0,
PER.205HPPB54,22.25,52.0,22.936,14.0,
PER.205HRR2,22.25,52.0,25.4,14.0,
PER.205HRR2-B,22.25,45.225,16.942,14.0,
PER.205HRR2-D,22.25,45.225,27.94,14.0,
PER.205HRRB2,22.25,52.0,25.4,14.0,
PER.205HRRB2-B,22.25,52.0,25.4,14.0,
PER.205KRR1116-HXE9-A,,,,,
PER.205RP8,19.2,52.0,18.288,14.0,
PER.205RPP10,16.03,52.0,34.925,14.0,
PER.205RPP9,19.202,52.0,34.925,14.0,
PER.205RPPB7,23.813,52.0,34.925,14.0,
PER.205RR3,19.075,52.0,17.78,14.0,
PER.205RRP2,19.202,52.0,21.107,14.0,
PER.205RRP5,20.0,52.0,21.107,14.0,
PER.205RY3,19.05,52.0,17.78,14.0,
PER.205RYY3,19.202,63.5,26.975,14.0,
PER.206HPP3,25.425,62.0,24.0,19.5,
PER.206HPPB5,25.425,62.0,26.924,19.5,
PER.206HRR52-A,22.7,62.0,22.0,19.5,
PER.206HRR6,25.425,62.0,24.0,19.5,
PER.206HRRB6,25.425,62.0,24.0,19.5,
PER.206RP2,30.0,62.0,24.0,19.5,
PER.206RPP16,19.177,62.0,24.0,19.5,
PER.206RRP4,25.146,62.0,22.225,19.5,
PER.206RRR14,31.773,62.0,24.0,19.5,
PER.207HPPB55,31.775,72.0,25.0,25.7,
PER.207HPPB57,31.775,72.0,37.95,25.7,
PER.207HRR28,30.0,78.054,42.951,25.7,
PER.207HRRB12,28.6,72.0,25.0,25.7,
PER.207HRRB12-B,28.6,72.0,25.0,25.7,
PER.207HRRB17,31.775,72.0,25.0,25.7,
PER.207HRRB58,28.6,72.0,25.0,25.7,
PER.207HRRB9,34.2,72.0,37.704,25.7,
PER.207NRRB12,34.925,72.0,25.0,25.7,
PER.207RRR14,31.826,72.0,25.0,25.7,
PER.207RRR3,35.0,72.0,25.0,25.7,
PER.207RYY60,35.0,72.0,25.0,25.7,
PER.208HPPB52,28.6,80.0,28.0,32.6,
PER.208RR4,38.892,80.0,27.508,32.6,
PER.208RRR4,38.892,80.0,27.508,32.6,
PER.208RRRB5,36.525,80.0,22.0,32.6,
PER.209HRRB2,38.1,85.0,30.0,32.7,
PER.210HPP20,31.877,90.0,36.45,40.3,
PER.210HPPB20,31.877,90.0,36.45,40.3,
PER.210HRRB52,38.1,91.5,30.0,40.3,
PER.210HRRB6,38.1,90.0,30.0,35.1,
PER.5203NYY50,,,,,
PER.6000-2RLDC3X6,,,,,
PER.6000-2RLYDC3G9-A,,,,,
PER.6001-2RLD,12.0,28.0,8.0,5.11,
PER.6001-2RLYD8C3F6-A,12.7,28.575,8.0,5.11,
PER.6001-ZZDV2,12.0,28.0,8.0,5.11,
PER.6001RYY2,12.7,30.0,16.0,5.11,
PER.6002-2RLDC3,15.0,32.0,9.0,5.59,
PER.6002-2RLDV2,15.0,32.0,9.0,5.59,
PER.6002-ZZDC3V2,15.0,32.0,9.0,5.59,
PER.6003-2RLDV2,17.0,35.0,10.0,6.0,
PER.6003-ZZDC3V2,17.0,35.0,10.0,6.0,
PER.6004-2RLD,20.0,42.0,12.0,9.38,
PER.6004-2RLDC3V2,20.0,42.0,12.0,9.38,
PER.6004-2RLDV2,20.0,42.0,12.0,9.38,
PER.6004-2RSTFPC3F6,20.0,42.0,12.0,9.38,
PER.6004-DV2,20.0,42.0,12.0,9.38,
PER.6004-ZZDC3V2,20.0,42.0,12.0,9.38,
PER.6004-ZZDV2,20.0,42.0,12.0,9.38,
PER.6005-2RLDC3V2,25.0,47.0,12.0,10.1,
PER.6005-2RLDV2,25.0,47.0,12.0,10.1,
PER.6005-ZZDC3,25.0,47.0,12.0,10.1,
PER.6006-2RLDC3,30.0,55.0,13.0,13.2,
PER.6006-2RLDV2,30.0,55.0,13.0,13.2,
PER.6006-2RSTFP,30.0,55.0,13.0,13.2,
PER.6006-D-A,30.0,55.0,13.0,13.2,
PER.6006-ZZD,30.0,55.0,13.0,13.2,
PER.6006-ZZDC3V2,30.0,55.0,13.0,13.2,
PER.6006-ZZDV2,,,,,
PER.6007-2RLD,35.0,62.0,14.0,16.2,
PER.6007-2RLDC3V2,35.0,62.0,14.0,16.2,
PER.6007-2RLDV2,35.0,62.0,14.0,16.2,
PER.6007-2RSTFPTF7,35.0,62.0,14.0,16.2,
PER.6007-DV2-A,35.0,62.0,14.0,16.2,
PER.6007-ZZD,35.0,62.0,14.0,16.2,
PER.6007-ZZDV2,35.0,62.0,14.0,16.2,
PER.6008-2RLD,40.0,68.0,15.0,17.0,
PER.6008-2RLDV2,40.0,68.0,15.0,17.0,
PER.6008-D-A,40.0,68.0,15.0,17.0,
PER.6008-DC3E3,40.0,68.0,15.0,17.0,
PER.6008-ZZDC3V2,40.0,68.0,15.0,17.0,
PER.6008-ZZDV2,40.0,68.0,15.0,17.0,
PER.6009-2RLD,45.0,75.0,16.0,21.1,
PER.6009-2RLDC3V2,,,,,
PER.6009-DV2,45.0,75.0,16.0,21.1,
PER.6009-ZZDV2,45.0,75.0,16.0,21.1,
PER.6010-2RLDC3V2,50.0,80.0,16.0,22.0,
PER.6010-2RLDV2,50.0,80.0,16.0,22.0,
PER.6010-ZZDC3V2,50.0,80.0,16.0,22.0,
PER.6011-DV2,55.0,90.0,18.0,28.2,
PER.6012-2RLDC3V2,60.0,95.0,18.0,32.3,
PER.6016-2RLDC3V2,80.0,125.0,22.0,47.5,
PER.6017B-2RLDC3,85.0,130.0,22.0,47.3,
PER.6017B-2RSTFPC4F7,85.0,130.0,22.0,47.3,
PER.6021-G,105.0,160.0,26.0,69.2,
PER.608-2RSPC3,,,,,
PER.6200-ZZDV2,10.0,30.0,9.0,2.39,
PER.6202-2RLDC3V2,,,,,
PER.6202-2RLDV2,15.0,35.0,11.0,7.64,
PER.6202-ZZDC3V2,15.0,35.0,11.0,7.64,
PER.6202-ZZDV2,15.0,35.0,11.0,7.64,
PER.6203-2RLD10V2,17.0,40.0,12.0,9.57,
PER.6203-2RLDC3F9,17.0,40.0,12.0,9.57,
PER.6203-2RLDC3V2,17.0,40.0,12.0,9.57,
PER.6203-2RLDV2,17.0,40.0,12.0,9.57,
PER.6203-2RLYDC3F7-B,17.0,40.0,12.0,9.57,
PER.6203-2RSTFPC3F6,17.0,40.0,12.0,9.57,
PER.6203-2RSTFPC3F9,17.0,40.0,12.0,9.57,
PER.6203-ZZD,17.0,40.0,12.0,9.57,
PER.6203-ZZDC3V2,17.0,40.0,12.0,9.57,
PER.6203-ZZDV2,17.0,40.0,12.0,9.57,
PER.6203B-2RLD,17.0,40.0,12.0,9.57,
PER.6204-2RLD,20.0,45.225,14.0,12.8,
PER.6204-2RLDC3V2,20.0,45.225,14.0,12.8,
PER.6204-2RLDV2,20.0,45.225,14.0,12.8,
PER.6204-2RLYDC3F6,20.0,45.225,14.0,12.8,
PER.6204-2RSTFPC3F6,20.0,45.225,14.0,12.8,
PER.6204-DV2,20.0,45.225,14.0,12.8,
PER.6204-RLD,20.0,45.225,14.0,12.8,
PER.6204-ZZDC3V2,20.0,45.225,14.0,12.8,
PER.6204-ZZDV2,20.0,45.225,14.0,12.8,
PER.6205-2RLDC3V2,25.0,52.0,15.0,14.0,
PER.6205-2RLDNRC3E3,25.0,52.0,15.0,14.0,
PER.6205-2RLDV2,25.0,52.0,15.0,14.0,
PER.6205-2RSFPF6,25.0,52.0,15.0,14.0,
PER.6205-2RSTFPC3F7,25.0,52.0,15.0,14.0,
PER.6205-DC3,25.0,52.0,15.0,14.0,
PER.6205-ZZDC3V2,25.0,52.0,15.0,14.0,
PER.6205-ZZDCXH3-A,25.0,52.0,15.0,14.0,
PER.6205-ZZDV2,25.0,52.0,15.0,14.0,
PER.6206-2RLDC3,30.0,62.0,16.0,19.5,
PER.6206-2RLDC3V2,,,,,
PER.6206-2RLDV2,30.0,62.0,16.0,19.5,
PER.6206-2RSFPC3F6,30.0,62.0,16.0,19.5,
PER.6206-2RSTFPC3F6,30.0,62.0,16.0,19.5,
PER.6206-2RSTFPC3F7,30.0,62.0,16.0,19.5,
PER.6206-2RSTFPF6,30.0,62.0,16.0,19.5,
PER.6206-D,30.0,62.0,16.0,,
PER.6206-DC3V2,,,,,
PER.6206-DV2,30.0,62.0,16.0,19.5,
PER.6206-ZZDC3V2,30.0,62.0,16.0,19.5,
PER.6206-ZZDV2,30.0,62.0,16.0,19.5,
PER.6206B-2RSTFPC3F7,30.0,62.0,16.0,19.5,
PER.6207-2RLDC3V2,35.0,72.0,17.0,25.7,
PER.6207-2RLDV2,35.0,72.0,17.0,25.7,
PER.6207-2RSTFPC3F6,35.0,72.0,17.0,25.7,
PER.6207-2RSTFPF6,35.0,72.0,17.0,25.7,
PER.6207-DC3V2,35.0,72.0,17.0,25.7,
PER.6207-DV2,35.0,72.0,17.0,25.7,
PER.6207-ZZDC3V2,35.0,72.0,17.0,25.7,
PER.6207-ZZDV2,35.0,72.0,17.0,25.7,
PER.6208-2RLD,40.0,80.0,18.0,32.6,
PER.6208-2RLDC3V2,40.0,80.0,18.0,32.6,
PER.6208-2RLDV2,40.0,80.0,18.0,32.6,
PER.6208-2RSTLYDTC3-A,40.0,80.0,18.0,32.6,
PER.6208-DC3V2,40.0,80.0,18.0,32.6,
PER.6208-DV2,40.0,80.0,18.0,32.6,
PER.6208-ZZDC3,40.0,80.0,18.0,32.6,
PER.6208-ZZDV2,40.0,80.0,18.0,32.6,
PER.6208B-2RSTFPC3F7-A,40.0,80.0,18.0,32.6,
PER.6208K-2RLDV2-A,40.0,80.0,18.0,32.6,
PER.6209-2RLDV2,45.0,85.0,19.0,32.7,
PER.6209-DC3V2,45.0,85.0,19.0,32.7,
PER.6209-DNRV2-A,45.0,85.0,19.0,32.7,
PER.6209-DV2,45.0,85.0,19.0,32.7,
PER.6209-ZZDC3V2,45.0,85.0,19.0,32.7,
PER.6209-ZZDV2,45.0,85.0,19.0,32.7,
PER.6209-ZZUNRNRTC3V2-A,,,,32.7,
PER.6209K-2RLDV2-A,45.0,85.0,19.0,32.7,
PER.6210-2RLDC3V2,,,,,
PER.6210-DC3V2,,,,,
PER.6210-DV2,50.0,90.0,20.0,35.1,
PER.6210-DV2-A,50.0,90.0,20.0,35.1,
PER.6210-GNR-A,45.0,90.0,20.0,35.1,
PER.6210-ZZDC3V2,50.0,90.0,20.0,35.1,
PER.6210-ZZDV2,50.0,90.0,20.0,35.1,
PER.6211-2RLDV2,55.0,100.0,21.0,43.4,
PER.6211-DV2,55.0,100.0,21.0,43.4,
PER.6211-GT-A,55.0,100.0,21.0,43.4,
PER.6212-2RLD,60.0,110.0,22.0,52.4,
PER.6212-2RLDC3V2,60.0,110.0,22.0,52.4,
PER.6212-2RLDV2,60.0,110.0,22.0,52.4,
PER.6212-DN,60.0,110.0,22.0,52.4,
PER.6212-DV2,60.0,110.0,22.0,52.4,
PER.6212-DV2-A,60.0,110.0,22.0,52.4,
PER.6215-D-A,75.0,130.0,25.0,66.1,
PER.6215-GNR-A,75.0,130.0,25.0,66.1,
PER.6216-ZDNRC3-A,80.0,140.0,26.0,72.7,
PER.62201-2RLD,12.0,32.0,14.0,6.82,
PER.6300-2RLDC3,10.0,35.0,11.0,7.65,
PER.6301-2RLDV2,12.0,37.0,12.0,9.71,
PER.6301-ZZDV2,12.0,37.0,12.0,9.71,
PER.6302-2RLDC3V2,,,,,
PER.6302-2RLDV2,15.0,42.0,13.0,11.4,
PER.6302-ZZDC3V2,,,,,
PER.6302-ZZDV2,15.0,42.0,13.0,11.4,
PER.6303-ZZDC3,17.0,47.0,14.0,13.6,
PER.6304-2RLDC3V2,20.0,52.0,15.0,15.9,
PER.6304-2RLDV2,20.0,52.0,15.0,15.9,
PER.6304-ZZDC3V2,20.0,52.0,15.0,15.9,
PER.6304-ZZDV2,20.0,52.0,15.0,15.9,
PER.6305-2RLDC3V2,25.0,62.0,17.0,22.4,
PER.6305-2RLDV2,25.0,62.0,17.0,22.4,
PER.6305-2RSTFPC3F6,25.0,62.0,17.0,22.4,
PER.6305-DC3V2,25.0,62.0,17.0,22.4,
PER.6305-DV2,,,,,
PER.6305-ZZDC3V2,25.0,62.0,17.0,22.4,
PER.6305-ZZDV2,,,,,
PER.6306-2RLD-A,30.0,72.0,19.0,26.7,
PER.6306-2RLDC3V2,30.0,72.0,19.0,26.7,
PER.6306-2RLDC4,30.0,72.0,19.0,26.7,
PER.6306-D-A,30.0,72.0,19.0,26.7,
PER.6306-DC3,30.0,72.0,19.0,26.6,
PER.6306-RLDV2,30.0,72.0,19.0,26.7,
PER.6306-ZZDC3V2,30.0,72.0,19.0,26.7,
PER.6307-2RLDC3V2,35.0,80.0,21.0,33.4,
PER.6307-2RLDV2,,,,,
PER.6307-DC3,35.0,80.0,21.0,33.4,
PER.6307-DV2,,,,,
PER.6307-ZZDC3V2,35.0,80.0,21.0,33.4,
PER.6307-ZZDV2,35.0,80.0,21.0,33.4,
PER.6308-2RLD,40.0,90.0,23.0,40.8,
PER.6308-2RLDC3,40.0,90.0,23.0,40.8,
PER.6308-2RLDC3V2,40.0,90.0,23.0,40.8,
PER.6308-2RLDV2,,,,,
PER.6308-DC3V2,40.0,90.0,23.0,40.8,
PER.6308-DV2-A,40.0,90.0,23.0,40.8,
PER.6308-GNR-A,40.0,90.0,23.0,40.8,
PER.6308-ZZDC3V2,40.0,90.0,23.0,40.8,
PER.6308-ZZDV2,40.0,90.0,23.0,40.8,
PER.6308B-2RLDC3F2,40.0,90.0,23.0,40.8,
PER.6309-2RLDC3V2,45.0,100.0,25.0,52.9,
PER.6309-2RLDV2,45.0,100.0,25.0,52.9,
PER.6309-2RSTFPC3F6,45.0,100.0,25.0,52.9,
PER.6309-DC3,45.0,100.0,25.0,52.9,
PER.6309-DV2,,,,,
PER.6309-DV2-A,45.0,100.0,25.0,52.9,
PER.6309-RSTFPC4F9,45.0,100.0,25.0,52.9,
PER.6309-ZZDC3V2,45.0,100.0,25.0,52.9,
PER.6309B-RSTFPTC3,45.0,100.0,25.0,52.9,
PER.6310-2RSTFPC4F7,50.0,110.0,27.0,61.9,
PER.6310-DC3V2,50.0,110.0,27.0,61.9,
PER.6310-ZZDC3V2,50.0,110.0,27.0,61.9,
PER.6310-ZZDV2,50.0,110.0,27.0,61.9,
PER.6310B-2RLDC3F2,50.0,110.0,27.0,61.9,
PER.6311-ZZDC3V2,55.0,120.0,29.0,71.6,
PER.6312-RSTFPC4F9,60.0,130.0,31.0,81.8,
PER.6313-DC3V2,65.0,140.0,33.0,92.6,
PER.6313-ZZDC3V2,65.0,140.0,33.0,92.6,
PER.6409-GV2,45.0,120.0,29.0,77.4,
PER.6907-G,35.0,55.0,10.0,10.4,
PER.6918-G,90.0,125.0,18.0,32.8,
PER.99502H-2RLDF2,15.875,34.925,11.0,7.64,
PER.99R16-DH3,25.4,50.8,12.7,10.1,
PER.99R4-U-A,,,,,
PER.99R8-DV2,,,,,
PER.BB204RPS59-FC,,,,,
PER.CF202RRR9,12.827,38.1,11.0,7.64,
PER.CF203RRR3,,50.8,15.0,,
PER.CF203RRR3-A,15.951,50.8,15.0,9.55,
PER.CF203RRR3-B,15.951,50.8,15.0,9.55,
PER.F203HRR716,11.43,43.18,23.19,9.57,
PER.F6003E-2RLDC4F9-A,19.07,35.052,13.0,6.0,
PER.G206HPPB4,25.425,62.0,24.0,19.5,
PER.G207HPPB2,34.2,,37.704,,
PER.G207HRR28,27.559,78.054,42.951,25.7,
PER.G211RPPB10,49.225,100.0,33.338,43.4,
PER.GFD209RPPB52-B,,,,,
PER.GFD211HPPB,,,,,
PER.GW208HPPB22,31.877,80.0,36.512,32.6,
PER.GW208HPPB29,31.877,80.0,36.512,32.6,
PER.GW208HPPB50,31.78,80.0,36.512,32.6,
PER.GW208SPP17,29.972,85.738,36.512,32.6,
PER.GW208SPP5,29.972,80.0,36.512,32.6,
PER.GW208SPPB5,29.972,80.0,36.512,32.6,
PER.GW208SPPB6,26.162,80.0,36.512,32.6,
PER.GW208SPPB8,29.972,80.0,36.512,32.6,
PER.GW209RPPB11,45.161,85.0,36.512,32.7,
PER.GW209RPPB11-B,45.161,85.0,36.512,32.7,
PER.GW209RPPB2,45.0,85.0,30.162,32.7,
PER.GW209RPPB2-A,45.0,85.0,30.162,32.7,
PER.GW209RPPB4,38.989,85.0,30.163,32.7,
PER.GW209SPP8,32.512,85.0,36.513,32.7,
PER.GW209SPPB5,32.512,85.0,36.513,32.7,
PER.GW209SPPB8-B,32.512,85.0,36.513,32.7,
PER.GW210HPPB50,44.475,90.0,42.862,35.1,
PER.GW210RPP54,49.225,90.0,49.212,35.1,
PER.GW210RPPB2,49.225,90.0,30.162,,
PER.GW210RPPB5,45.339,90.0,30.162,,
PER.GW210SPP4,29.413,90.0,30.162,35.1,
PER.GW210SPPB4,29.413,90.0,30.162,35.1,
PER.GW211HPPB51,44.475,100.0,42.863,43.4,
PER.GW211RPP2,55.575,100.0,33.338,43.4,
PER.GW211RPP25,45.339,100.0,44.45,43.4,
PER.GW211RPP25-B,45.339,100.0,44.45,43.4,
PER.GW211RPP32,51.562,100.0,60.325,43.4,
PER.GW211RPP53,50.0,100.0,44.45,43.4,
PER.GW211RPPB10,,,,,
PER.GW211RPPB13,45.339,100.0,33.325,43.4,
PER.GW211RPPB13-A,45.339,100.0,33.325,43.4,
PER.GW211RPPB14,51.181,100.0,33.338,43.4,
PER.GW211RPPB2,55.575,100.0,33.338,43.4,
PER.GW211RPPB8,55.575,100.0,33.338,43.4,
PER.GW211RPPB9,55.753,100.0,39.688,43.4,
PER.GW211RPPB9-A,,,,,
PER.GW211SPP17,38.887,100.0,44.45,43.4,
PER.GW211SPP17-A,38.887,100.0,44.45,43.4,
PER.GW211SPP17-B,38.887,100.0,44.45,43.4,
PER.GW211SPP3,38.887,100.0,33.338,43.4,
PER.GW211SPP5,38.887,,44.45,,
PER.GW211SPP50,,,,,
PER.GW211SPPB3,38.887,100.0,33.338,43.4,
PER.GW212SPP50,45.466,110.0,50.8,52.4,
PER.GW214RPP2,70.0,125.0,39.688,62.2,
PER.GW214RPP3,68.278,125.0,68.263,62.2,
PER.GW214RPPB2,70.0,125.0,39.688,62.2,
PER.GW214RPPB3,49.225,110.0,50.8,62.2,
PER.GW214RPPB6,68.278,125.0,68.263,62.2,
PER.GW214SPPB4,52.2,125.0,39.688,62.2,
PER.K6203-2RSTFPC3F5-A,7.1,44.45,20.0,9.57,
PER.SER206-19M,30.162,62.0,38.1,12.8,
PER.UC204-C,20.0,,31.0,12.8,
PER.W204HRRB2,17.653,47.0,20.955,12.8,
PER.W208HPP21,31.775,80.0,36.512,32.6,
PER.W208HPPB16,31.78,80.0,36.51,32.6,
PER.W208HRRB6,34.95,80.0,36.512,32.6,
PER.W208HYYB60,31.877,80.0,36.512,32.6,
PER.W208RPP10,38.113,80.0,42.862,32.6,
PER.W208RPP53,38.1,80.0,36.0,32.6,
PER.W208RPPB10,38.113,80.0,42.862,32.6,
PER.W208RPPB23,38.113,80.0,42.862,32.6,
PER.W208RPPB7,30.175,80.0,30.162,32.6,
PER.W208S3,29.972,80.0,42.863,32.6,
PER.W208SPP5,29.972,80.0,36.512,32.6,
PER.W208SPP6,26.162,80.0,36.512,32.6,
PER.W208SPP8,29.972,80.0,36.513,32.6,
PER.W208SPPB11,22.987,85.75,36.512,32.6,
PER.W208SPPB12,29.972,85.75,36.512,32.6,
PER.W208SPPB12-B,,,,,
PER.W208SPPB5,29.972,80.0,36.512,32.6,
PER.W208SPPB6,26.162,80.0,36.512,32.6,
PER.W208SPPB6-B,26.162,80.0,36.512,32.6,
PER.W208SPPB8,29.972,80.0,36.512,32.6,
PER.W209RPPB2,45.0,85.0,30.175,32.7,
PER.W209RPPB4,38.989,85.0,30.163,32.7,
PER.W209SPPB5,32.512,85.0,36.513,32.7,
PER.W210R,49.225,90.0,49.212,35.1,
PER.W210RPP10,49.225,90.0,49.212,35.1,
PER.W210RPP2,49.225,90.0,30.162,35.1,
PER.W210RPPB2,49.225,90.0,30.162,35.1,
PER.W210RPPB5,45.339,90.0,30.162,35.1,
PER.W210SPP4-A,29.413,90.0,30.162,35.1,
PER.W210SPPB4,29.413,90.0,30.162,35.1,
PER.W211HRRB50,44.475,100.0,42.862,43.4,
PER.W211R,52.413,100.0,55.562,43.4,
PER.W211RPP2,55.575,100.0,33.338,43.4,
PER.W211RPP2-A,55.575,100.0,33.338,,
PER.W211RPP54,52.413,100.0,55.562,43.4,
PER.W211RPPB2,55.575,100.0,33.338,43.4,
PER.W211RPPB4,55.575,100.0,55.562,43.4,
PER.W211RSSB55-F,55.75,100.0,39.688,43.4,
PER.W211SPP3,38.887,100.0,33.338,43.4,
PER.W211SPP3-C,,,,,
PER.W211SPP5,38.887,101.6,44.45,43.4,
PER.W211SPPB3,38.887,100.0,33.338,43.4,
PER.W211SPPB6,38.887,103.556,44.45,43.4,
PER.W211SSSB65,38.887,100.0,53.975,43.4,
PER.W215HPP52,38.25,130.0,43.0,66.1,
PER.W311R,55.575,120.0,55.562,71.6,
PER.W312HPP51,44.602,130.0,48.0,81.8,
PER.W313HPP50-A,52.07,140.0,58.5,92.6,
PER.W5204R65,,,,,
PER.W5204RP52-D,,,,,
PER.WF205HRR1116-A,17.653,60.0,23.876,18.3,
